index,season,era,rank,version,new,rank_bottom,top_n,bottom_n,season_nbr
13,Nicaragua,Dark Ages,25.0,8.0,False,12.0,False,False,21
14,"Redemption
Island",Dark Ages,36.0,8.0,False,1.0,False,True,22
15,"South
Pacific",Dark Ages,27.0,8.0,False,10.0,False,True,23
16,One World,Dark Ages,35.0,8.0,False,2.0,False,True,24
17,Philippines,Revival Era,6.0,8.0,False,31.0,True,False,25
18,Caramoan,Revival Era,34.0,8.0,False,3.0,False,True,26
19,"Blood vs.
Water",Revival Era,17.0,8.0,False,20.0,False,False,27
20,Cagayan,Revival Era,3.0,8.0,False,34.0,True,False,28
21,"San Juan
del Sur",Revival Era,9.0,8.0,False,29.0,False,False,29
22,Africa,Classic Era,23.0,8.0,False,15.0,False,False,3
23,Worlds Apart,Revival Era,29.0,8.0,False,8.0,False,True,30
24,Cambodia,Meta Era,15.0,8.0,False,22.0,False,False,31
25,Kaôh Rōng,Meta Era,5.0,8.0,False,32.0,True,False,32
26,MvGX,Meta Era,13.0,8.0,False,25.0,True,False,33
27,"Game
Changers",Meta Era,33.0,8.0,False,4.0,False,True,34
28,HvHvH,Meta Era,24.0,8.0,True,13.0,False,False,35
29,Ghost Island,Meta Era,31.0,8.0,True,6.0,False,True,36
30,"David vs.
Goliath",Meta Era,,8.0,True,,True,False,37
31,"Edge of
Extinction",Meta Era,,8.0,True,,False,False,38
32,Marquesas,Classic Era,19.0,8.0,False,18.0,False,False,4
33,Thailand,Classic Era,30.0,8.0,False,7.0,False,True,5
34,The Amazon,Classic Era,11.0,8.0,False,26.0,False,False,6
35,"Pearl
Islands",Classic Era,2.0,8.0,False,35.0,True,False,7
36,All-Stars,Classic Era,32.0,8.0,False,5.0,False,True,8
37,Vanuatu,Transitional Era,18.0,8.0,False,19.0,False,False,9
0,Borneo,Classic Era,14.0,9.0,False,25.0,False,False,1
1,Palau,Transitional Era,18.0,9.0,False,20.0,False,False,10
2,Guatemala,Transitional Era,22.0,9.0,False,17.0,False,False,11
3,Panama,Transitional Era,11.0,9.0,False,28.0,False,False,12
4,Cook Islands,Transitional Era,23.0,9.0,False,16.0,True,False,13
5,Fiji,Transitional Era,28.0,9.0,False,11.0,False,True,14
6,China,Golden Age,5.0,9.0,False,34.0,True,False,15
7,Micronesia,Golden Age,10.0,9.0,False,29.0,True,False,16
8,Gabon,Golden Age,12.0,9.0,False,27.0,False,False,17
9,Tocantins,Golden Age,4.0,9.0,False,35.0,True,False,18
10,Samoa,Golden Age,29.0,9.0,False,10.0,False,False,19
11,"Australian
Outback",Classic Era,24.0,9.0,False,15.0,False,False,2
12,"Heroes vs.
Villains",Golden Age,6.0,9.0,False,33.0,True,False,20
13,Nicaragua,Dark Ages,25.0,9.0,False,14.0,False,False,21
14,"Redemption
Island",Dark Ages,38.0,9.0,False,1.0,False,True,22
15,"South
Pacific",Dark Ages,26.0,9.0,False,13.0,False,True,23
16,One World,Dark Ages,34.0,9.0,False,5.0,False,True,24
17,Philippines,Revival Era,7.0,9.0,False,32.0,True,False,25
18,Caramoan,Revival Era,35.0,9.0,False,4.0,False,True,26
19,"Blood vs.
Water",Revival Era,17.0,9.0,False,22.0,False,False,27
20,Cagayan,Revival Era,2.0,9.0,False,37.0,True,False,28
21,"San Juan
del Sur",Revival Era,9.0,9.0,False,30.0,False,False,29
22,Africa,Classic Era,20.0,9.0,False,18.0,False,False,3
23,Worlds Apart,Revival Era,31.0,9.0,False,7.0,False,True,30
24,Cambodia,Meta Era,15.0,9.0,False,24.0,False,False,31
25,Kaôh Rōng,Meta Era,8.0,9.0,False,31.0,True,False,32
26,MvGX,Meta Era,13.0,9.0,False,26.0,True,False,33
27,"Game
Changers",Meta Era,36.0,9.0,False,2.0,False,True,34
28,HvHvH,Meta Era,27.0,9.0,False,12.0,False,False,35
29,Ghost Island,Meta Era,37.0,9.0,False,3.0,False,True,36
30,"David vs.
Goliath",Meta Era,1.0,9.0,True,38.0,True,False,37
31,"Edge of
Extinction",Meta Era,30.0,9.0,True,9.0,False,False,38
32,Marquesas,Classic Era,21.0,9.0,False,19.0,False,False,4
33,Thailand,Classic Era,33.0,9.0,False,6.0,False,True,5
34,The Amazon,Classic Era,16.0,9.0,False,23.0,False,False,6
35,"Pearl
Islands",Classic Era,3.0,9.0,False,36.0,True,False,7
36,All-Stars,Classic Era,32.0,9.0,False,8.0,False,True,8
37,Vanuatu,Transitional Era,19.0,9.0,False,21.0,False,False,9
