season,season_nbr,score,polarity,subjectivity
Vanuatu,9.0,2,0.5075000000000001,0.57375
Vanuatu,9.0,2,0.015833333333333317,0.6716666666666667
Vanuatu,9.0,2,0.4100250626566417,0.5441102756892231
Vanuatu,9.0,2,0.375,0.5
Vanuatu,9.0,2,0.1822058823529412,0.5341176470588236
Vanuatu,9.0,2,0.2833333333333333,0.6239583333333334
Vanuatu,9.0,1,0.44999999999999996,0.65
Vanuatu,9.0,1,0.1,0.35
Vanuatu,9.0,1,0.2755952380952381,0.6452380952380953
Vanuatu,9.0,5,0.06666666666666667,0.49722222222222223
Vanuatu,9.0,2,0.12000000000000001,0.58
Vanuatu,9.0,11,0.43333333333333335,0.5666666666666667
The Amazon,6.0,17,0.35,0.54375
The Amazon,6.0,12,0.16066816829004332,0.5093831952769452
The Amazon,6.0,32,0.09318181818181817,0.42727272727272725
The Amazon,6.0,11,0.11272200772200772,0.5556499356499355
The Amazon,6.0,6,-0.06,0.425
The Amazon,6.0,3,0.15384615384615385,0.5038461538461539
The Amazon,6.0,3,-0.12222222222222223,0.4444444444444444
The Amazon,6.0,5,0.2118165784832451,0.5252865961199296
The Amazon,6.0,2,0.26141774891774894,0.5339917027417027
The Amazon,6.0,2,0.1338888888888889,0.5472222222222222
The Amazon,6.0,2,0.4728571428571428,0.5604761904761905
The Amazon,6.0,2,0.14347222222222225,0.3679861111111111
The Amazon,6.0,2,0.1762301587301587,0.5714603174603174
The Amazon,6.0,3,0.28529411764705886,0.5598039215686273
The Amazon,6.0,2,0.31709259259259265,0.7451296296296296
The Amazon,6.0,1,0.0,0.0
The Amazon,6.0,1,0.20999999999999996,0.6000000000000001
The Amazon,6.0,2,0.31999999999999995,0.36
The Amazon,6.0,10,0.31666666666666665,0.43333333333333335
The Amazon,6.0,1,0.68125,0.525
The Amazon,6.0,5,0.029545454545454562,0.46931818181818186
The Amazon,6.0,1,0.1,1.0
The Amazon,6.0,6,0.2,0.2
The Amazon,6.0,4,0.0,0.0
The Amazon,6.0,4,0.475,0.4666666666666667
The Amazon,6.0,3,0.2607142857142857,0.5940476190476192
The Amazon,6.0,1,0.0,0.0
The Amazon,6.0,1,0.6083333333333334,0.6
Gabon,17.0,62,-0.4,0.7
Gabon,17.0,28,0.2371527777777778,0.5322916666666666
Gabon,17.0,22,0.13690476190476192,0.5694444444444444
Gabon,17.0,41,0.26,0.8
Gabon,17.0,26,0.0,0.0
Gabon,17.0,9,0.201963601532567,0.5139846743295019
Gabon,17.0,13,0.0,0.0
Gabon,17.0,5,0.2605286281179138,0.5740986394557822
Gabon,17.0,3,0.3472727272727273,0.42757575757575755
Gabon,17.0,3,0.25416666666666665,0.5858333333333333
Gabon,17.0,3,0.3083333333333333,0.7000000000000001
Gabon,17.0,3,0.01674057649667405,0.6017368810051736
Gabon,17.0,2,0.10535714285714284,0.5845238095238096
Gabon,17.0,2,0.18179945054945051,0.5830586080586081
Gabon,17.0,2,0.25439814814814815,0.7641203703703704
Gabon,17.0,2,0.3051282051282051,0.6384615384615385
Gabon,17.0,2,0.275,0.6
Gabon,17.0,2,0.20092592592592592,0.7018518518518518
Gabon,17.0,2,0.14525462962962962,0.49918981481481484
Gabon,17.0,1,0.12083333333333333,0.3666666666666667
Gabon,17.0,1,0.5,0.775
Gabon,17.0,1,0.2522486772486772,0.6620370370370369
Gabon,17.0,1,0.24,0.38
Gabon,17.0,1,0.23703703703703705,0.5842592592592593
Gabon,17.0,-1,-0.20000000000000004,0.6333333333333334
Gabon,17.0,14,0.5800000000000001,0.49000000000000005
Gabon,17.0,15,0.0,0.0
Gabon,17.0,8,0.0,0.0
Gabon,17.0,4,0.0,0.0
Gabon,17.0,3,0.0,0.0
"Heroes vs.
Villains",20.0,155,0.0,0.0
"Heroes vs.
Villains",20.0,21,0.2928571428571428,0.43928571428571433
"Heroes vs.
Villains",20.0,9,0.1885057471264368,0.4629310344827586
"Heroes vs.
Villains",20.0,7,0.225,0.5766666666666665
"Heroes vs.
Villains",20.0,17,0.1848214285714286,0.5316964285714286
"Heroes vs.
Villains",20.0,3,0.5900000000000001,0.66
"Heroes vs.
Villains",20.0,3,0.0,0.1
"Heroes vs.
Villains",20.0,2,0.575,0.6375
"Heroes vs.
Villains",20.0,2,0.26363636363636367,0.65
"Heroes vs.
Villains",20.0,2,0.31666666666666665,0.7074074074074074
"Heroes vs.
Villains",20.0,2,0.4,0.55
"Heroes vs.
Villains",20.0,1,0.29000000000000004,0.51
"Heroes vs.
Villains",20.0,3,0.10513188244047615,0.4679226190476192
"Heroes vs.
Villains",20.0,2,0.2916666666666667,0.4583333333333333
"Heroes vs.
Villains",20.0,2,0.43333333333333335,0.5277777777777778
"Heroes vs.
Villains",20.0,1,0.01964285714285715,0.3702380952380952
"Heroes vs.
Villains",20.0,1,0.2858974358974359,0.5971153846153847
"Heroes vs.
Villains",20.0,1,0.4490909090909091,0.751969696969697
"Heroes vs.
Villains",20.0,14,0.09482142857142857,0.5757936507936507
"Heroes vs.
Villains",20.0,22,0.0,0.0
"Heroes vs.
Villains",20.0,2,0.225,0.31666666666666665
"Heroes vs.
Villains",20.0,1,0.25,0.3333333333333333
"Heroes vs.
Villains",20.0,23,-0.06319444444444447,0.3527777777777778
"Heroes vs.
Villains",20.0,44,0.0,0.3
"Heroes vs.
Villains",20.0,1,0.4057142857142857,0.6061904761904762
"Heroes vs.
Villains",20.0,10,0.0,0.0
"Heroes vs.
Villains",20.0,10,0.30000000000000004,0.6
"Heroes vs.
Villains",20.0,1,0.0,0.0
Africa,3.0,23,0.08333333333333333,0.5166666666666667
Africa,3.0,8,0.06930272108843538,0.3468537414965986
Africa,3.0,6,0.23942577030812331,0.5380952380952381
Africa,3.0,16,0.22888888888888886,0.37777777777777777
Africa,3.0,12,0.26746480057159666,0.5368631530282015
Africa,3.0,5,0.3854166666666667,0.575
Africa,3.0,3,0.13880952380952385,0.5980952380952379
Africa,3.0,3,-0.007142857142857141,0.5142857142857143
Africa,3.0,3,0.2761904761904762,0.5821428571428572
Africa,3.0,4,0.3133333333333334,0.538888888888889
Africa,3.0,2,0.3333333333333333,0.875
Africa,3.0,2,0.256,0.5698333333333333
Africa,3.0,3,0.20611111111111116,0.6405555555555557
Africa,3.0,1,0.4273809523809525,0.4857142857142857
Africa,3.0,1,0.0,0.1
